"rep","description_short","description","choreography","length","music","music by","premiere","original cast","num_dancers","costumes","set","lighting","photo_url","premiere_date","premiere_place"
"Law-of-Mosaics","Set to Ted Hearne’s sonic patchwork for string ensemble, Law of Mosaics features ten dancers in color-blocked unitards of various hues who demonstrate a post-modern approach to ballet technique, closing with a solo for a barefoot dancer. ","Set to Ted Hearne’s sonic patchwork for string ensemble, Law of Mosaics features ten dancers in color-blocked unitards of various hues who demonstrate a post-modern approach to ballet technique, closing with a solo for a barefoot dancer. 
Pam Tanowitz’ Law of Mosaics is her third work created for NYCB. The ballet for 10 dancers is set to Law of Mosaics, by composer, singer, bandleader, recording artist, and two-time finalist for the Pulitzer Prize for music, Ted Hearne. The ballet also features costumes by Reid Bartelme and Harriet Jung, and lighting by Brandon Stirling Baker.","Pam Tanowitz","35 Minutes","Law of Mosaics","Ted Hearne","April 22, 2022, New York City Ballet, David H Koch Theater","Sara Mearns, Russell Janzen, Daniel Applebaum, Preston Chamblee, Adrian Danchig-Warning, Christopher Grant, Isabella La Freniere, Ruby Lister, Miriam Miller, Naomi Corti",10,"Reid Bartelme and Harriet Jung","-","Brandon Stirling Baker","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1651690986/Uploads/LawofMosaics-220422-154?_a=AACnOEz,","April 22, 2022","New York City Ballet, David H Koch Theater"
"this-bitter-earth","This breathtaking and poetic dance for a couple explores the haunting, tenuous melodies set to a remix of Dinah Washington’s soulful rendition of “This Bitter Earth” and Max Richter’s “On the Nature of Daylight.”","This breathtaking and poetic dance for a couple explores the haunting, tenuous melodies set to a remix of Dinah Washington’s soulful rendition of “This Bitter Earth” and Max Richter’s “On the Nature of Daylight.”
This Bitter Earth is a pas de deux from Christopher Wheeldon’s Five Movements, Three Repeats. The full work was originally created for Fang-Yi Sheu & Artists, a group led by former Martha Graham Dance Company star Fang-Yi Sheu that included NYCB dancers Wendy Whelan, Tyler Angle, and Craig Hall. Set to a remix of Dinah Washington’s performance of Clyde Otis’ This Bitter Earth, and Max Richter’s On the Nature of Daylight, the ballet had its Company premiere at NYCB’s 2012 Fall Gala.","Christopher Wheeldon","8 minutes","“This Bitter Earth” performed by Dinah Washington (from the motion picture soundtrack for Shutter Island). Music by arrangement with Sony/ATV Music Publishing LLC.","Max Richter and Clyde Otis","August 6, 2012, Vail International Dance Festival","Wendy Whelan, Tyler Angle",2,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579693445/legacy/imported/this-bitter-earth-key?_a=AACnOEz,","August 6, 2012","Vail International Dance Festival"
"Herman-Schmerman-Pas-de-Deux","Forsythe’s angular, contemporary choreography for this striking and inventive pas de deux is paired to an electronic score by his long-time collaborator Thom Willems.","Forsythe’s angular, contemporary choreography for this striking and inventive pas de deux is paired to an electronic score by his long-time collaborator Thom Willems.
William Forsythe choreographed Herman Schmerman, his second work for NYCB, as part of the 1992 Diamond Project. Originally choreographed for five dancers, Forsythe said at the time, ""The ballet means nothing. It’s a piece about dancing that will be a lot of fun.""
In 1993, Forsythe added a pas de deux to the ballet, and when NYCB revived the ballet in 1999, Forsythe decided to present just the pas de deux.","William Forsythe","10 minutes","Just Ducky (1992)Commissioned by New York City Ballet","Thom Willems","May 28, 1992, The Diamond Project I, New York City Ballet, New York State Theater","Kyra Nichols, Margaret Tracey, Wendy Whelan, Jeffrey Edwards, Ethan Stiefel",5,"Gianni Versace","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1594247820/legacy/imported/Herman-Schmerman-PDD-key?_a=AACnOEz,","May 28, 1992","The Diamond Project I, New York City Ballet, New York State Theater"
"Love-Letter-on-shuffle","Building on the momentum of 2018’s The Runaway, Kyle Abraham reunites the pop stylings of singer, songwriter, and producer James Blake and eye-catching costume designs by Giles Deacon, inspiring the Company’s dancers to new physical and emotional heights in a mashup of phenomenal classical feats and contemporary swagger.Following The Runaway (2018) and the films Ces noms que nous portons (2020) and When We Fell (2021), Love Letter (on shuffle) is Kyle Abraham's fourth work for New York City Ballet. The ballet for 16 dancers features music by London-born singer, songwriter, and producer James Blake. Love Letter (on shuffle) premiered at the 2022 Fall Fashion Gala with costumes designed by fashion designer Giles Deacon, and lighting by Dan Scully.","Building on the momentum of 2018’s The Runaway, Kyle Abraham reunites the pop stylings of singer, songwriter, and producer James Blake and eye-catching costume designs by Giles Deacon, inspiring the Company’s dancers to new physical and emotional heights in a mashup of phenomenal classical feats and contemporary swagger.Following The Runaway (2018) and the films Ces noms que nous portons (2020) and When We Fell (2021), Love Letter (on shuffle) is Kyle Abraham's fourth work for New York City Ballet. The ballet for 16 dancers features music by London-born singer, songwriter, and producer James Blake. Love Letter (on shuffle) premiered at the 2022 Fall Fashion Gala with costumes designed by fashion designer Giles Deacon, and lighting by Dan Scully.","Kyle Abraham","38 minutes","-","James Blake","September 28, 2022,  New York City Ballet, David H. Koch Theater","Harrison Ball, Jacqueline Bologna, Naomi Corti, Jonathan Fahoury, Christopher Grant, Emily Kikta, Claire Kretzschmar, Ruby Lister, Malorie Lundgren, Alexa Maxwell, Tiler Peck, Mckenzie Bernardino Soares, Quinn Starner, Sebastián Villarini-Vélez, Peter Walker, Cainan Weber",16,"Giles Deacon","-","Dan Scully","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1664488679/Love%20Letter/LoveLetter-VillariniVelezTPeck-69A3630A?_a=AACnOEz,","September 28, 2022"," New York City Ballet, David H. Koch Theater"
"A-Midsummer-Nights-Dream","Enter the enchanted land of Shakespeare’s A Midsummer Night’s Dream, a lush forest besieged by quixotic love triangles and feuding fairy kingdoms, awash with magic at every turn.","Enter the enchanted land of Shakespeare’s A Midsummer Night’s Dream, a lush forest besieged by quixotic love triangles and feuding fairy kingdoms, awash with magic at every turn.
Shakespeare’s A Midsummer Night's Dream is one of his happiest and most loved comedies. It is called a ""Dream"" because of the unrealistic events the characters experience in the play — real, yet unreal, such as crossed lovers, meaningless quarrels, forest chases leading to more confusion, and magic spells woven by the infamous Puck. Balanchine had been familiar with Shakespeare’s play from an early age. As a child he had appeared as an elf in a production in St. Petersburg, and he could recite portions of the play by heart in Russian. Balanchine loved Mendelssohn’s overture and incidental music for A Midsummer Night’s Dream (composed over a period of 15 years with the overture (Opus 21) first in 1826, and the other sections later in Opus 61). It is this score, Balanchine later said, that inspired his choreography. Mendelssohn had written only about an hour’s worth of music for the play, not enough for an evening-length dance work, so Balanchine added the following pieces, listed in the order of being played: Overture to Athalie, Opus 74; Overture to The Fair Melusine, Opus 32; excerpts from The First Walpurgis Night, Opus 60; Symphony No. 9 for Strings; Overture to Son and Stranger, Opus 89.Midsummer night has long been associated with love and magic. In European folklore it is the one night of the year when supernatural beings such as fairies are about and can interact with the real world. It is also a date that falls near the summer solstice, which was traditionally a time for fertility rites and festivals devoted to love. Shakespeare’s 1595 play has been the source for films, an opera by Benjamin Britten (1960), and a one-act ballet by Frederick Ashton, called The Dream (1964). George Balanchine’s version, which premiered in 1962, was the first wholly original evening-length ballet he choreographed in America. Two years later, on April 24, A Midsummer Night’s Dream opened the New York City Ballet’s first repertory season at the New York State Theater (now the David H. Koch Theater).","George Balanchine","Act I: 1 hour 8 minutes, Act II: 32 minutes","Overture and Incidental Music to A Midsummer Night's Dream, opp. 21 and 61 (1826, 1842); Overtures to Athalie, op. 74 (1845), The Fair Melusine op. 32 (1833), The First Walpurgis Night, op. 60; Symphony No. 9 for strings; Overture to Son and Stranger, op. 89 (1829)","Felix Mendelssohn","January 17, 1962, New York City Ballet, City Center of Music and Drama","Suki Schorer, Arthur Mitchell, Jillana, Edward Villella, Melissa Hayden, Conrad Ludlow, Roland Vazquez, Francisco Moncion, Patricia McBride, Nicholas Magallanes, Bill Carter, Gloria Govrin, Violette Verdy",13,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1590869904/Ballets/Midsummer-Nights-Dream-A/Midsummer_Ball_c41877-8-CROP-OUT-FAIRY-FAR-RIGHT?_a=AACnOEz,","January 17, 1962","New York City Ballet, City Center of Music and Drama"
"Dances-at-a-Gathering","The quintessential piano ballet, Dances at a Gathering distills the spectrum of human interaction into the most natural of movements, a landmark for its invention, virtuosity, and constantly shifting emotions.","The quintessential piano ballet, Dances at a Gathering distills the spectrum of human interaction into the most natural of movements, a landmark for its invention, virtuosity, and constantly shifting emotions.
Dances at a Gathering, which premiered in 1969, heralded Jerome Robbins’ return to New York City Ballet after a 13-year absence. Inspired by Chopin’s piano music, Robbins quickly began choreographing in the rehearsal studio. When he showed 25 minutes of choreography to Balanchine, he said, “Make more, make it like popcorn,” pretending to pop popcorn into his mouth. The work eventually expanded to an hour in length with a cast of ten dancers.
Chopin’s mazurkas, waltzes, and études, groundbreaking at the time of their composition, are rooted in the Slavic character of his Polish homeland, yet still convey the elegance of Paris, where they were created. Robbins ultimately used 18 of Chopin’s piano pieces, creating dances for various duets, solos, and larger groupings. “The ballet stays and exists in the time of the music and its work,” wrote Robbins. “Nothing is out of it, I believe; all gestures and moods, steps, etc. are part of the fabric of the music’s time and its meaning to me.”","Jerome Robbins","60 minutes","Mazurka, op. 63, no. 3; Waltz, op. 69, no. 2; Mazurka, op. 33, no. 3; Mazurkas, op. 6, nos. 2 and 4, op. 7, nos. 4 and 5, op. 24, no. 2; Waltz, op. 24; Waltz, op. 34, no. 2; Mazurka, op. 56, no. 2; Etude, op. 25, no. 4; Waltz, op. 34, no. 1; Waltz, op. 70, no. 2; Etude, op. 25, no. 5; Etude, op. 10, no. 2; Scherzo, op. 20, no. 1; Nocturne, op. 15, no. 1","Frédéric Chopin","May 22, 1969, New York City Ballet, New York State Theater","Allegra Kent, Sara Leland, Kay Mazzo, Patricia McBride, Violette Verdy, Anthony Blum, John Clifford, Robert Maiorano, John Prinz, Edward Villella",10,"Joe Eula","-","Jennifer Tipton","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1593286309/Uploads/dances-at-a-gathering-key?_a=AACnOEz,","May 22, 1969","New York City Ballet, New York State Theater"
"Brahms-Schoenberg-Quartet","A sweeping romantic work for 55 dancers, the Austro-Hungarian-inflected Brahms-Schoenberg Quartet ends in an intoxicating finale.","A sweeping romantic work for 55 dancers, the Austro-Hungarian-inflected Brahms-Schoenberg Quartet ends in an intoxicating finale.
Johannes Brahms’ Piano Quartet in G minor, Op. 25 (1861) marked a new development in chamber music. Though it received mixed reviews at the time of its premiere, it proved to be deeply influential for a number of 20th-century composers, laying the groundwork for atonality. 
Among the work’s admirers was Brahms’ great Viennese successor, Arnold Schoenberg, who in 1937 arranged the quartet for orchestra. In a letter to Dr. Alfred Frankenstein, the distinguished critic and musicologist of the San Francisco Chronicle, Schoenberg gives his reasons for this somewhat surprising undertaking: “1. I love the piece. 2. It is seldom played. 3. It is always very badly played, as the better the pianist, the louder he plays, and one hears nothing of the strings. I wanted for once to hear everything, and this I have achieved.”
Balanchine often visited Stravinsky in Hollywood, and the composer would make suggestions of unfamiliar scores that might be suitable for ballet. In 1957, he played Balanchine a version of the Gounod Symphony, which the choreographer set the following year. In 1964, similarly, came the suggestion of Schoenberg’s orchestration of Brahms’ quartet, and Balanchine premiered the ballet in 1966, two years after NYCB’s move from City Center to the New York State Theater at Lincoln Center.","George Balanchine","43 minutes","Piano Quartet No. 1 in G minor, Op. 25 (1861), orchestrated by Arnold Schoenberg (1937)","Johannes Brahms","April 12, 1966, New York City Ballet, New York State Theater","Melissa Hayden, Gloria Govrin, Patricia McBride, Allegra Kent, Suzanne Farrell, André Prokovsky, Conrad Ludlow, Edward Villella, Jacques d'Amboise",9,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1580989439/Uploads/brahms-schoenberg-quartet-key?_a=AACnOEz,","April 12, 1966","New York City Ballet, New York State Theater"
"Interplay","Interplay’s young dancers take part in lighthearted competition as they revel in the exuberant yet cool melodies of the ballet’s jazz-infused score.","Interplay’s young dancers take part in lighthearted competition as they revel in the exuberant yet cool melodies of the ballet’s jazz-infused score.
Interplay was the second ballet that Jerome Robbins choreographed, after his huge success with Fancy Free. It debuted in 1945 for Billy Rose's Concert Varieties at the Ziegfeld Theater and entered the New York City Ballet repertory in 1952. Using the interplay of classical and vernacular choreography, Robbins experimented with choreographic patterns and the interactions of dancers in various formations. Originally titled American Concertette, Morton Gould's score, full of humor and jazzy orchestration, revels in the swingtime rhythms of the 1940s. At the center of Interplay is a bluesy pas de deux that stands in bold relief to the joyfully competitive spirit of the ballet.","Jerome Robbins","17 minutes","Interplay (Original title, American Concertette) (1945)","Morton Gould","June 1, 1945, Billy Rose's Concert Varieties, Ziegfield Theatre, New York","Janet Reed, John Kriza, Harold Lang",3,"Santo Loquasto","-","Ronald Bates","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1579692040/legacy/imported/interplay-key?_a=AACnOEz,","June 1, 1945","Billy Rose's Concert Varieties, Ziegfield Theatre, New York"
"Other-Dances","Other Dances pays homage to Chopin’s romanticism and the purity of classical ballet technique, featuring two dramatic dancers in a series of short, folk-infused dances.","Other Dances pays homage to Chopin’s romanticism and the purity of classical ballet technique, featuring two dramatic dancers in a series of short, folk-infused dances.
Jerome Robbins was a great admirer of the Russian stars Natalia Makarova and Mikhail Baryshnikov, who each famously defected and made new careers in America. Other Dances, a pas de deux created in 1976 for a New York Public Library for the Performing Arts benefit, was specifically crafted to display their legendary technique and artistry.
Robbins chose four mazurkas and one waltz by Chopin, the composer whose piano music had inspired him for Dances at a Gathering. Although Chopin did not invent the mazurka, a stylized Polish dance in triple meter, his compositions brought them to the public attention and raised them to a new level of sophistication. Other Dances, through its simplicity and virtuosity, pays homage to both Chopin’s Romanticism and the fluidity of classical ballet technique. ","Jerome Robbins","18 minutes","Mazurkas, Op. 17, No. 4; Op. 41, No. 3; Waltz, Op. 64, No. 3; Mazurkas Op. 63, No. 2, Op. 33, No. 2","Frédéric Chopin","May 9, 1976, Metropolitan Opera House, Gala Benefit for the Library of the Performing Arts at Lincoln Center","Natalia Makarova, Mikhail Baryshnikov",2,"Santo Loquasto","-","Ronald Bates","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1605066751/Ballets/Other-Dances/OtherDances-TPeck-c45155-13-NCrop?_a=AACnOEz,","May 9, 1976","Metropolitan Opera House, Gala Benefit for the Library of the Performing Arts at Lincoln Center"
"Gustave-le-Gray-No-1","Set to Caroline Shaw’s piano composition Gustave le Gray, four dancers in flowing, vibrant red costumes repeat sharp yet sweeping phrases and interact with the onstage pianist, who continues to play even as they move the grand piano and musician from one side of the stage to the other.","Set to Caroline Shaw’s piano composition Gustave le Gray, four dancers in flowing, vibrant red costumes repeat sharp yet sweeping phrases and interact with the onstage pianist, who continues to play even as they move the grand piano and musician from one side of the stage to the other.
Pam Tanowitz’s Gustave le Gray No. 1, a work for four dancers and an onstage pianist, was originally created in 2019 for “Ballet Across America” at the John F. Kennedy Center for the Performing Arts, just weeks after the premiere of Tanowitz’s Bartók Ballet, her first creation for New York City Ballet. The ballet is set to Caroline Shaw’s Gustave le Gray and features costumes design by Reid Bartelme and Harriet Jung and lighting design by Davison Scandrett.","Pam Tanowitz","12 Minutes","Gustave Le Gray","Caroline Shaw","May 31, 2019, Miami City Ballet and Dance Theatre of Harlem, The Kennedy Center for the Performing Arts","Lauren Fadeley, Renan Cerdeiro, Stephanie Rae Williams, Anthony Santos",4,"Reid Bartelme and Harriet Jung","-","Davison Scandrett","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1651690289/Uploads/GustaveleGrayNo.1-P9A0292?_a=AACnOEz,","May 31, 2019","Miami City Ballet and Dance Theatre of Harlem, The Kennedy Center for the Performing Arts"
"Year-of-the-Rabbit","Set to an orchestration of Sufjan Stevens’ 2001 electronica album Enjoy Your Rabbit, Justin Peck’s acclaimed Year of the Rabbit presents an ever-changing kaleidoscope of visually arresting shapes, weaving six featured dances into the corps de ballet.","Set to an orchestration of Sufjan Stevens’ 2001 electronica album Enjoy Your Rabbit, Justin Peck’s acclaimed Year of the Rabbit presents an ever-changing kaleidoscope of visually arresting shapes, weaving six featured dances into the corps de ballet.
NYCB Resident Choreographer and Artistic Advisor Justin Peck’s second work for New York City Ballet, Year of the Rabbit, is a collaboration with American singer-songwriter Sufjan Stevens. The ballet is set to Stevens’ Enjoy Your Rabbit, an electronica album and song cycle based on the Chinese zodiac, and the orchestration of the score by Michael Atkinson was created specifically for the ballet. Year of the Rabbit is an elaboration of Peck’s Tales of a Chinese Zodiac, which was created in 2010 for the New York Choreographic Institute.
30 minutes","Justin Peck","30 minutes","Enjoy Your Rabbit","Sufjan Stevens","October 5, 2012, New York City Ballet, David H. Koch Theater","Ashley Bouder, Teresa Reichlen, Janie Taylor, Joaquin de Luz, Robert Fairchild, Craig Hall",6,"-","-","-","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1581004683/Uploads/year-of-the-rabbit-key?_a=AACnOEz,","October 5, 2012","New York City Ballet, David H. Koch Theater"
"scenes-de-ballet-wheeldon","On a stage mimicking a rehearsal studio, Scènes de Ballet displays 64 student dancers and their implied reflections in the mirror as they perfect their craft.","On a stage mimicking a rehearsal studio, Scènes de Ballet displays 64 student dancers and their implied reflections in the mirror as they perfect their craft.
Christopher Wheeldon's second work for New York City Ballet, Scènes de Ballet, is set in a Russian ballet studio (designed by Ian Falconer), a slightly skewed classroom bisected by a barre and an imaginary mirror. The dancers — 64 School of American Ballet students ranging from the very young to the soon-to-graduate — are similarly divided between ""real"" dancers and their ""reflections."" This classically inspired ballet displays what one critic has called ""a bracingly confident fusion of George Balanchine's structured clarity with the sunny lyricism of Frederick Ashton.""   Stravinsky said his music for Scènes de Ballet was free of any literary or dramatic intentions and that ""the parts follow each other as in a sonata or in a symphony in contrasts and similarities."" He did, however, specify different dances for the 11 parts of his score. Stravinsky, who was living in Hollywood at the time, originally wrote Scènes de Ballet for a review called ""The Seven Lively Arts,"" presented by showman Billy Rose at the Ziegfield Theatre in New York City on December 7, 1944. The leading roles were danced by Anton Dolin (who had choreographed the piece) and Alicia Markova. Since then, the score has been used by a number of choreographers, including John Taras (for New York City Ballet's 1972 Stravinsky Festival) and Frederick Ashton who, in 1948, created a ballet for Margot Fonteyn, Michael Somes and a corps de ballet.","Christopher Wheeldon","19 minutes","Scènes de Ballet (1944)","Igor Stravinsky","May 19, 1999, New York City Ballet, New York State Theater","Students from the School of American Ballet",1,"Holly Hynes","Ian Falconer","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_south,h_700,w_800/f_auto/q_auto/v1679429275/Ballets/Scenes-de-Ballet/FY24/ScenesdeBallet-c22191-2?_a=AACnOEz,","May 19, 1999","New York City Ballet, New York State Theater"
"Pulcinella-Variations","Exploring NYCB’s neoclassical roots in his choreography, Peck’s Pulcinella Variations features nine dancers in a series of divertissements, dressed by Japanese fashion designer Tsumori Chisato in whimsical commedia dell’arte-inspired costumes.","Exploring NYCB’s neoclassical roots in his choreography, Peck’s Pulcinella Variations features nine dancers in a series of divertissements, dressed by Japanese fashion designer Tsumori Chisato in whimsical commedia dell’arte-inspired costumes.","Justin Peck","22 minutes","Pulcinella Suite (1922)","Igor Stravinsky","September 28, 2017, New York City Ballet, David H. Koch Theater","Cast Sterling Hyltin, Sara Mearns, Tiler Peck, Brittany Pollack, Indiana Woodward, Jared Angle, Andrew Scordato, Gonzalo Garcia, Anthony Huxley",9,"Tsumori Chisato","-","Mark Stanley","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1590862148/Ballets/Pulcinella-Variations/PulcinellaVariations_MearnsJAngle_c43869-14?_a=AACnOEz,","September 28, 2017","New York City Ballet, David H. Koch Theater"
"Symphony-in-Three-Movements","One of Balanchine’s most celebrated leotard ballets, Symphony in Three Movements is bold and breathtakingly jet-propelled, a kinetic achievement, striking for its confidence and power.","One of Balanchine’s most celebrated leotard ballets, Symphony in Three Movements is bold and breathtakingly jet-propelled, a kinetic achievement, striking for its confidence and power.
For New York City Ballet’s 1972 Stravinsky Festival, Balanchine choreographed several notable masterpieces, including the majestic Symphony in Three Movements.  Stravinsky had suggested the music as a ballet when the choreographer visited the composer in Hollywood during World War II. Despite its 21 minute length, the piece evokes a fuller symphonic breadth with two instruments, the harp and piano, providing the dominant contrasts. “Each instrument has a large obbligato role in a movement to itself, and only at the turning- point fugue…do the two play together and unaccompanied,” said Stravinsky. The signature Stravinsky propulsive rhythm is mirrored by the angular, athletic choreography for soloists and a large ensemble, although the second andante movement, originally composed for an apparition scene in the movie Song of Bernadette, is reserved for a meditative pas de deux. One of Balanchine’s “leotard” ballets, the work requires no scenic or narrative distractions from the complexity of the choreography.","George Balanchine","22 minutes","Symphony in Three Movements (1945)","Igor Stravinsky","June 18, 1972, New York City Ballet, Stravinsky Festival, New York State Theater","Sara Leland, Marnee Morris, Lynda Yourth, Helgi Tomasson, Edward Villella, Robert Weiss",6,"-","-","Ronald Bates (original production); Mark Stanley (current production)","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1604447142/Ballets/Symphony-in-Three-Movements/Sym3-190516-287?_a=AACnOEz,","June 18, 1972","New York City Ballet, Stravinsky Festival, New York State Theater"
"Fancy-Free","Evoking the Great White Way, Fancy Free is the precursor to Broadway’s On the Town, presenting three sailors and their escapades on shore leave in Manhattan. ","Evoking the Great White Way, Fancy Free is the precursor to Broadway’s On the Town, presenting three sailors and their escapades on shore leave in Manhattan. 
In 1944, Jerome Robbins — then a young dancer with Ballet Theatre (now American Ballet Theatre)— choreographed his first ballet, a collaboration with up-and-coming composer Leonard Bernstein. The two wanted to bring a modern American sensibility to ballet, and they hit on the perfect concept: sailors on shore leave in New York City, a common sight in those days. The premiere performance of Fancy Free has become legendary, with two dozen curtain calls for the stunned cast, composer, and choreographer, and raves from the bowled-over critics.
Fancy Free was the inspiration for a full-length musical, On the Town, that was also a great success, and Robbins and Bernstein went on to collaborate on another Broadway classic, West Side Story. Of course, each man had many subsequent successes; Bernstein became the music director of the New York Philharmonic and a prolific composer and conductor, and Robbins was the creative force behind many enduring Broadway hits, as well as the choreographer of some of New York City Ballet’s core works. But it was Fancy Free that put Robbins on the map as someone who had a clear eye for creating compelling movement, a deft hand at telling a story, and a creative vision that was unique in the world of theater.","Jerome Robbins","29 minutes","Fancy Free (1944)","Leonard Bernstein","April 18, 1944, by Ballet Theatre (now American Ballet Theatre), Metropolitan Opera House, New York","John Kriza, Harold Lang, Jerome Robbins, Muriel Bentley, Janet Reed, Shirley Eckl",6,"Kermit Love","Oliver Smith","Ronald Bates","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1595628078/Ballets/Fancy-Free/FancyFree_MejiaCollVillariniMaxwell_c44847-14_NCrop?_a=AACnOEz,","April 18, 1944","by Ballet Theatre (now American Ballet Theatre), Metropolitan Opera House, New York"
"In-the-Night","Exploring his fascination with the music of Chopin, Robbins created three vastly contrasting sets of lovers, from innocent to impetuous, who meet beneath a midnight sky.","Exploring his fascination with the music of Chopin, Robbins created three vastly contrasting sets of lovers, from innocent to impetuous, who meet beneath a midnight sky.
After the enormous popularity of Dances at a Gathering in 1969, Jerome Robbins built on his love affair with Chopin’s piano works with In the Night.  While the earlier ballet primarily uses mazurkas, waltzes, and études, In the Night, which premiered in 1970, conjures up a post-dusk scenario to four of the composer’s nocturnes. Choreographed for three couples of distinct personality, the ballet uses the music as a jumping-off point to explore subtle dance dramas. The Nocturne Op. 27, No. 1 takes on a stately quality before melting into lyricism. Nocturnes Op. 55, No. 1 and No. 2 are, respectively, bittersweet, and tempestuous in their melodies. The final piece, Nocturne Op. 9, No. 2 uses the rondo form, but in a tender, almost ethereal andante.","Jerome Robbins","22 minutes","Nocturne Opus 27, No. 1 (1835); Nocturnes Opus 55, No. 1 and No. 2 (1843); Nocturne Opus 9, No. 2 (1830-1831) for solo piano","Frédéric Chopin","January 29, 1970, New York State Theater","Kay Mazzo, Anthony Blum, Violette Verdy, Peter Martins, Patricia McBride, Francisco Moncion",6,"Anthony Dowell","-","Jennifer Tipton","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_auto,h_700,w_800/f_auto/q_auto/v1593282248/legacy/imported/In-the-night-key?_a=AACnOEz,","January 29, 1970","New York State Theater"
"The-Four-Seasons","This audience favorite translates the seasons into frosty flirtation, springtime awakening, sultry revelry, and autumnal bacchanal, all set to Verdi’s vibrant melodies.","This audience favorite translates the seasons into frosty flirtation, springtime awakening, sultry revelry, and autumnal bacchanal, all set to Verdi’s vibrant melodies.
When opera was presented in Paris in the late nineteenth century, the composer was obliged to include a ballet at the beginning of the third act, whether or not it had anything to do with the plot of the opera. Usually it didn't, but it gave the Jockey Club, a group of wealthy subscribers, a chance to look over their favorite beautiful ladies of the ballet at a convenient time of the evening, and these patrons were attentively in their seats for the ballet, if not for the rest of the opera. The tradition of the third act divertissement was so firmly established that when Wagner put his Venusburg ballet at the very beginning of Act I of Tannhäuser, there were such forcible protests by the Jockey Club that the whole opera was nearly withdrawn.
Fortunately for us, Verdi was less revolutionary about Parisian conventions and composed many third-act opera ballets. Although seldom included in today’s productions, they contain some of the most delightful dance music of the period. For I Vespri Siciliani, he devised a ballet called The Four Seasons. His libretto called for Janus, the God of New Year, to inaugurate a series of dances by each of the seasons in turn. Verdi’s notes suggest such notions as ballerinas warming themselves in Winter by dancing, Spring bringing on warm breezes, indolent Summer ladies being surprised by an Autumnal faun, etc. The present ballet follows his general plan. The original score is augmented by a few selections of his ballet music from I Lombardi and Il Trovatore.
– Jerome Robbins, 1979","Jerome Robbins","37 minutes","I Vespri Siciliani (Les vêpres siciliennes) (1855) I Lombardi alla Prima Crociata (1843) Il Trovatore (1853)","Giuseppe Verdi","January 18, 1979, New York City Ballet, New York State Theater","-",NA,"Santo Loquasto","Santo Loquasto","Jennifer Tipton","https://res.cloudinary.com/new-york-city-ballet/image/upload/c_fill,g_center,h_700,w_800/f_auto/q_auto/v1590869619/Ballets/Four-Seasons-The/FourSeasons_Huxley_C37130-13?_a=AACnOEz,","January 18, 1979","New York City Ballet, New York State Theater"
